Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Chinese,Male,40-90,Training,independent_segment,10,40.0,50.0,571,-0.36703897025745474,23.28147490079762,-0.20176644009777275
Chinese,Male,40-90,Training,independent_segment,10,50.0,60.0,2534,-0.4623268003160103,28.16365734113422,-0.3175372199672453
Chinese,Male,40-90,Training,independent_segment,10,60.0,70.0,2871,-0.3640033600207764,22.398401986182872,-0.2624369502505093
Chinese,Male,40-90,Training,independent_segment,10,70.0,80.0,1626,-0.2655855438052066,15.630057854999583,-0.17122582185547588
Chinese,Male,40-90,Training,independent_segment,10,80.0,90.0,186,-0.5288047108857035,37.82724934295733,-0.311467045432036
Chinese,Male,40-90,Observed,linear,all,41.0,80.0,194,-0.5974777311771717,39.15593636973913,-0.7594233003759817
Chinese,Male,40-90,Observed,independent_segment,10,40.0,50.0,19,-0.4815265851946097,34.64760735077868,-0.2936066815345178
Chinese,Male,40-90,Observed,independent_segment,10,50.0,60.0,65,-0.5624748941883826,37.20714709021429,-0.353050117887308
Chinese,Male,40-90,Observed,independent_segment,10,60.0,70.0,84,-0.5282850239877874,34.41081101230624,-0.3159613315465867
Chinese,Male,40-90,Observed,independent_segment,10,70.0,80.0,25,-0.3563128322975674,22.173393095168173,-0.26850753013520023
Chinese,Male,40-90,Observed,independent_segment,10,80.0,90.0,1,,,
