column,original_order_mean,sorted_by_age_mean,difference_sorted_minus_original,absolute_difference,original_nonblank,sorted_nonblank
R_parsopercularis_surfavg,1248.8923076923077,1248.8923076923077,0.0,0.0,325,325
R_paracentral_surfavg,1348.84,1348.84,0.0,0.0,325,325
R_parahippocampal_surfavg,599.9292307692308,599.9292307692308,0.0,0.0,325,325
R_middletemporal_surfavg,3254.904615384615,3254.904615384615,0.0,0.0,325,325
R_medialorbitofrontal_surfavg,1891.363076923077,1891.363076923077,0.0,0.0,325,325
R_lingual_surfavg,3035.452307692308,3035.452307692308,0.0,0.0,325,325
L_pericalcarine_surfavg,1362.7876923076924,1362.7876923076924,0.0,0.0,325,325
age,58.56307692307692,58.56307692307692,0.0,0.0,325,325
L_parsorbitalis_surfavg,608.7384615384616,608.7384615384616,0.0,0.0,325,325
L_precentral_thickavg,2.5703107692307694,2.5703107692307694,0.0,0.0,325,325
R_medialorbitofrontal_thickavg,2.4216892307692306,2.4216892307692306,0.0,0.0,325,325
R_lateralorbitofrontal_thickavg,2.6005784615384613,2.6005784615384613,0.0,0.0,325,325
R_isthmuscingulate_thickavg,2.2131538461538462,2.2131538461538462,0.0,0.0,325,325
R_inferiortemporal_thickavg,2.73592,2.73592,0.0,0.0,325,325
R_fusiform_thickavg,2.6797692307692307,2.6797692307692307,0.0,0.0,325,325
R_caudalmiddlefrontal_thickavg,2.56612,2.56612,0.0,0.0,325,325
R_caudalanteriorcingulate_thickavg,2.4131015384615386,2.4131015384615386,0.0,0.0,325,325
R_bankssts_thickavg,2.503006153846154,2.503006153846154,0.0,0.0,325,325
L_frontalpole_thickavg,2.7670707692307692,2.7670707692307692,0.0,0.0,325,325
L_superiortemporal_thickavg,2.645916923076923,2.645916923076923,0.0,0.0,325,325
L_superiorfrontal_thickavg,2.7777476923076923,2.7777476923076923,0.0,0.0,325,325
L_rostralanteriorcingulate_thickavg,2.679633846153846,2.679633846153846,0.0,0.0,325,325
L_precuneus_thickavg,2.328003076923077,2.328003076923077,0.0,0.0,325,325
L_posteriorcingulate_thickavg,2.3986,2.3986,0.0,0.0,325,325
R_paracentral_thickavg,2.4895876923076923,2.4895876923076923,0.0,0.0,325,325
L_postcentral_thickavg,2.0808923076923076,2.0808923076923076,0.0,0.0,325,325
L_pericalcarine_thickavg,1.5293046153846155,1.5293046153846155,0.0,0.0,325,325
L_paracentral_thickavg,2.437843076923077,2.437843076923077,0.0,0.0,325,325
L_lateralorbitofrontal_thickavg,2.5726769230769233,2.5726769230769233,0.0,0.0,325,325
L_lateraloccipital_thickavg,2.1477323076923076,2.1477323076923076,0.0,0.0,325,325
L_isthmuscingulate_thickavg,2.2004184615384617,2.2004184615384617,0.0,0.0,325,325
L_inferiortemporal_thickavg,2.7296307692307695,2.7296307692307695,0.0,0.0,325,325
L_inferiorparietal_thickavg,2.4124584615384617,2.4124584615384617,0.0,0.0,325,325
L_entorhil_thickavg,3.249753846153846,3.249753846153846,0.0,0.0,325,325
L_cuneus_thickavg,1.7955969230769229,1.7955969230769229,0.0,0.0,325,325
L_caudalmiddlefrontal_thickavg,2.5848153846153847,2.5848153846153847,0.0,0.0,325,325
L_caudalanteriorcingulate_thickavg,2.5174523076923077,2.5174523076923077,0.0,0.0,325,325
L_bankssts_thickavg,2.3997076923076923,2.3997076923076923,0.0,0.0,325,325
R_middletemporal_thickavg,2.7597046153846154,2.7597046153846154,0.0,0.0,325,325
R_parsopercularis_thickavg,2.553393846153846,2.553393846153846,0.0,0.0,325,325
L_parsopercularis_surfavg,1472.5292307692307,1472.5292307692307,0.0,0.0,325,325
L_caudalmiddlefrontal_surfavg,1960.116923076923,1960.116923076923,0.0,0.0,325,325
L_paracentral_surfavg,1246.84,1246.84,0.0,0.0,325,325
L_parahippocampal_surfavg,639.1446153846153,639.1446153846153,0.0,0.0,325,325
L_middletemporal_surfavg,2960.9784615384615,2960.9784615384615,0.0,0.0,325,325
L_medialorbitofrontal_surfavg,1820.5815384615385,1820.5815384615385,0.0,0.0,325,325
L_lingual_surfavg,2885.409230769231,2885.409230769231,0.0,0.0,325,325
L_lateralorbitofrontal_surfavg,2408.68,2408.68,0.0,0.0,325,325
L_lateraloccipital_surfavg,4531.055384615384,4531.055384615384,0.0,0.0,325,325
L_isthmuscingulate_surfavg,999.4615384615385,999.4615384615385,0.0,0.0,325,325
L_inferiortemporal_surfavg,3184.566153846154,3184.566153846154,0.0,0.0,325,325
sex,2.0,2.0,0.0,0.0,325,325
L_fusiform_surfavg,2847.067692307692,2847.067692307692,0.0,0.0,325,325
L_entorhil_surfavg,388.96923076923076,388.96923076923076,0.0,0.0,325,325
L_cuneus_surfavg,1440.3661538461538,1440.3661538461538,0.0,0.0,325,325
L_caudalanteriorcingulate_surfavg,549.6553846153846,549.6553846153846,0.0,0.0,325,325
R_parsorbitalis_thickavg,2.6623938461538463,2.6623938461538463,0.0,0.0,325,325
L_bankssts_surfavg,918.7261538461538,918.7261538461538,0.0,0.0,325,325
R_insula_thickavg,2.8958646153846153,2.8958646153846153,0.0,0.0,325,325
R_transversetemporal_thickavg,2.2618553846153846,2.2618553846153846,0.0,0.0,325,325
R_frontalpole_thickavg,2.7623076923076924,2.7623076923076924,0.0,0.0,325,325
R_supramargil_thickavg,2.475781538461538,2.475781538461538,0.0,0.0,325,325
R_superiorparietal_thickavg,2.17136,2.17136,0.0,0.0,325,325
R_rostralmiddlefrontal_thickavg,2.3783446153846155,2.3783446153846155,0.0,0.0,325,325
R_rostralanteriorcingulate_thickavg,2.681569230769231,2.681569230769231,0.0,0.0,325,325
R_precuneus_thickavg,2.3311784615384616,2.3311784615384616,0.0,0.0,325,325
R_precentral_thickavg,2.52844,2.52844,0.0,0.0,325,325
R_postcentral_thickavg,2.0677476923076923,2.0677476923076923,0.0,0.0,325,325
R_pericalcarine_thickavg,1.5592892307692308,1.5592892307692308,0.0,0.0,325,325
R_parstriangularis_thickavg,2.4202215384615386,2.4202215384615386,0.0,0.0,325,325
L_inferiorparietal_surfavg,4255.587692307692,4255.587692307692,0.0,0.0,325,325
